zipcode,walking_score,transit_score,bike_score
98019,0,,
98045,0,,
98065,0,,
98022,0,,
98092,0,0,
98027,0,0,
98014,1,,
98038,2,,
98039,2,,
98029,2,24,
98072,4,,
98075,5,,
98074,9,0,
98070,10,,
98177,10,35,
98006,10,15,19
98058,10,0,
98077,11,,
98056,12,26,
98166,12,16,
98001,13,22,
98028,14,36,
98053,16,0,
98155,17,,
98008,18,31,17
98198,22,,
98024,23,,
98178,24,46,22
98059,27,15,
98105,29,41,42
98023,31,32,
98010,34,,
98042,36,,
98034,38,40,
98032,38,38,
98146,39,40,
98106,40,43,50
98168,40,42,
98055,42,37,
98188,46,48,
98199,47,34,41
98005,49,43,40
98108,50,48,21
98112,52,42,61
98148,53,34,
98126,54,51,48
98004,56,46,37
98116,56,35,26
98031,58,32,
98118,59,56,43
98033,59,48,
98115,61,52,72
98007,61,43,54
98030,63,37,
98003,65,45,
98125,67,59,64
98011,69,48,
98040,71,40,
98102,73,60,52
98002,73,36,
98136,74,48,51
98133,80,52,
98052,81,49,
98117,83,52,70
98109,85,79,56
98144,85,75,79
98119,85,61,56
98122,85,60,84
98103,89,62,82
98107,96,55,80
